business_id,business_name,sector,city_tier,business_vintage_years,segment_hidden_label,is_ntc_ntb,monthly_upi_volume_inr,avg_monthly_balance_inr,txn_count_per_month,bounce_rate_pct,balance_volatility_pct,gst_on_time_filing_pct,gst_vs_bank_turnover_gap_pct,months_since_last_gst_filing,gst_registration_vintage_years,employee_count,employee_retention_rate_pct,pf_contribution_regularity_pct,avg_salary_payment_delay_days,revenue_6m_growth_pct,revenue_volatility_pct,defaulted_12m
MSME0001,Average Enterprises 1,Manufacturing (Light),Tier-3,4.0,Average,False,46715.0,33412.0,185.0,4.12,19.31,66.77,23.56,1,6.8,1,63.28,77.71,5.5,-0.08,11.67,0
MSME0002,NTC Enterprises 2,Textile & Apparel,Tier-2,1.5,NTC_NTB,True,45028.0,30924.0,103.0,7.62,22.45,29.95,34.06,4,1.6,3,43.73,50.16,14.4,6.6,15.31,0
MSME0003,Risky Enterprises 3,Construction Materials,Tier-1,5.9,Risky,False,37265.0,27237.0,111.0,11.02,26.7,19.83,39.25,4,4.5,1,22.49,18.7,21.3,4.15,20.77,0
MSME0004,Risky Enterprises 4,IT Services,Tier-3,5.2,Risky,False,30188.0,20027.0,106.0,11.12,25.88,12.64,29.76,4,5.3,2,35.04,57.84,17.3,-6.09,20.07,1
MSME0005,Healthy Enterprises 5,Logistics & Transport,Tier-3,9.1,Healthy,False,75099.0,41917.0,234.0,0.89,5.0,93.14,6.64,0,7.3,12,76.7,82.92,4.8,6.51,5.14,0
MSME0006,Healthy Enterprises 6,Auto Repair & Parts,Tier-2,7.9,Healthy,False,83807.0,44936.0,261.0,2.27,8.09,96.62,6.02,2,9.0,11,83.06,75.08,0.0,12.79,5.0,0
MSME0007,Healthy Enterprises 7,IT Services,Tier-1,9.7,Healthy,False,60921.0,51212.0,257.0,1.28,5.0,92.08,3.81,1,7.1,7,94.86,85.8,0.0,12.89,5.0,0
MSME0008,NTC Enterprises 8,IT Services,Tier-2,1.2,NTC_NTB,True,42279.0,41750.0,148.0,3.96,16.35,42.21,33.47,5,1.3,15,44.44,51.04,9.5,-0.53,12.55,1
MSME0009,Risky Enterprises 9,Food & Beverage,Tier-2,4.1,Risky,False,27708.0,10039.0,73.0,9.59,18.02,19.0,41.72,4,2.7,1,30.59,53.48,19.5,1.28,18.89,0
MSME0010,Risky Enterprises 10,Textile & Apparel,Tier-1,7.1,Risky,False,29891.0,19316.0,98.0,10.42,30.54,37.01,39.3,2,1.3,1,17.33,31.1,15.3,3.84,15.63,0
MSME0011,Healthy Enterprises 11,Agri-Trading,Tier-1,7.6,Healthy,False,73355.0,36957.0,277.0,2.53,7.95,91.78,3.51,0,8.5,13,81.87,82.7,10.9,9.16,5.48,0
MSME0012,NTC Enterprises 12,Logistics & Transport,Tier-1,1.1,NTC_NTB,True,60482.0,32563.0,109.0,2.33,17.63,32.92,28.21,2,2.8,7,53.21,33.89,0.0,16.79,21.22,1
MSME0013,NTC Enterprises 13,Logistics & Transport,Tier-2,4.9,NTC_NTB,True,12650.0,41663.0,157.0,8.2,20.95,56.29,27.4,3,1.9,11,63.85,44.27,9.2,19.06,6.17,0
MSME0014,Average Enterprises 14,Retail Trade,Tier-2,4.1,Average,False,49532.0,36180.0,199.0,6.83,19.28,55.14,13.61,1,3.9,1,68.28,40.93,13.5,2.79,12.17,0
MSME0015,Healthy Enterprises 15,Auto Repair & Parts,Tier-3,6.8,Healthy,False,100298.0,36361.0,277.0,2.42,11.26,83.15,3.48,0,2.8,8,77.45,82.9,6.2,21.01,6.21,0
MSME0016,Healthy Enterprises 16,Retail Trade,Tier-2,7.8,Healthy,False,75379.0,48436.0,292.0,2.88,5.68,87.56,5.15,1,4.8,12,81.48,83.65,5.9,0.23,5.0,0
MSME0017,Average Enterprises 17,IT Services,Tier-2,6.8,Average,False,54393.0,32546.0,226.0,6.51,12.88,72.2,16.67,1,2.3,3,61.0,55.68,0.0,2.07,10.0,0
MSME0018,Average Enterprises 18,Textile & Apparel,Tier-2,5.8,Average,False,87689.0,23281.0,203.0,7.13,8.87,49.35,10.82,1,5.4,15,58.67,72.66,3.6,-8.26,11.25,0
MSME0019,Average Enterprises 19,Food & Beverage,Tier-1,4.8,Average,False,84730.0,22185.0,226.0,4.6,17.22,51.79,24.49,1,4.9,7,45.71,62.54,8.0,11.53,10.76,0
MSME0020,Average Enterprises 20,Logistics & Transport,Tier-1,5.4,Average,False,85325.0,21252.0,157.0,5.64,11.96,61.1,28.88,1,1.9,8,51.02,58.21,12.1,3.75,11.55,0
MSME0021,Risky Enterprises 21,Textile & Apparel,Tier-2,3.3,Risky,False,40771.0,9597.0,106.0,11.2,22.11,32.79,41.62,0,1.4,1,28.13,29.52,12.2,-11.23,17.18,1
MSME0022,Healthy Enterprises 22,Pharma & Healthcare Retail,Tier-3,7.6,Healthy,False,81658.0,63087.0,239.0,2.61,9.95,96.88,11.96,0,4.7,11,87.04,81.93,0.0,14.38,5.0,0
MSME0023,Average Enterprises 23,Retail Trade,Tier-2,6.1,Average,False,50328.0,24352.0,193.0,5.63,14.34,51.83,17.4,2,5.0,2,58.89,64.76,2.2,7.91,9.61,0
MSME0024,Average Enterprises 24,Textile & Apparel,Tier-1,4.9,Average,False,22527.0,38900.0,205.0,5.72,12.05,58.22,22.15,0,6.5,18,40.5,45.4,11.6,-0.19,12.1,0
MSME0025,Average Enterprises 25,Textile & Apparel,Tier-2,6.9,Average,False,52146.0,31715.0,198.0,7.83,14.77,61.02,17.32,2,3.4,6,62.89,67.31,0.0,6.6,10.67,0
MSME0026,NTC Enterprises 26,Agri-Trading,Tier-1,2.8,NTC_NTB,True,63516.0,8889.0,203.0,3.4,22.79,48.24,15.96,0,3.7,12,39.43,39.42,15.1,5.88,17.3,1
MSME0027,Healthy Enterprises 27,IT Services,Tier-3,10.7,Healthy,False,80455.0,35651.0,257.0,1.82,7.15,90.0,9.11,0,6.5,5,79.33,84.26,8.3,7.57,6.07,0
MSME0028,Average Enterprises 28,Manufacturing (Light),Tier-1,4.3,Average,False,77752.0,30104.0,194.0,5.15,9.97,67.32,13.24,1,3.1,10,72.08,68.84,13.9,-0.54,10.9,0
MSME0029,Risky Enterprises 29,Pharma & Healthcare Retail,Tier-1,3.7,Risky,False,66080.0,21692.0,90.0,9.55,30.28,26.17,38.26,0,2.5,7,42.7,21.82,10.0,-8.09,16.12,0
MSME0030,Healthy Enterprises 30,Retail Trade,Tier-1,10.7,Healthy,False,48213.0,36754.0,278.0,1.64,5.0,90.67,6.04,3,3.7,11,88.78,78.53,0.0,7.82,5.0,0
MSME0031,Risky Enterprises 31,Retail Trade,Tier-2,3.9,Risky,False,66549.0,8643.0,140.0,5.76,17.69,19.59,28.11,3,3.6,2,28.5,35.28,21.7,-16.61,18.41,1
MSME0032,Healthy Enterprises 32,IT Services,Tier-1,8.5,Healthy,False,56410.0,36336.0,239.0,4.56,6.36,92.88,0.36,1,9.0,15,85.74,82.08,4.8,3.87,5.0,0
MSME0033,Healthy Enterprises 33,Pharma & Healthcare Retail,Tier-3,7.8,Healthy,False,72892.0,32491.0,278.0,2.08,5.0,94.29,3.89,0,3.9,13,74.32,92.53,0.0,20.14,5.0,0
MSME0034,NTC Enterprises 34,IT Services,Tier-2,1.8,NTC_NTB,True,49987.0,16826.0,162.0,10.85,5.0,50.44,36.34,1,0.1,1,72.25,63.24,18.3,7.16,18.22,0
MSME0035,NTC Enterprises 35,Textile & Apparel,Tier-3,0.2,NTC_NTB,True,36963.0,31715.0,206.0,9.58,13.18,46.12,29.05,3,1.6,1,45.82,52.38,5.3,11.58,8.01,0
MSME0036,NTC Enterprises 36,Textile & Apparel,Tier-3,3.3,NTC_NTB,True,30743.0,31659.0,162.0,6.66,12.63,43.57,19.68,3,0.2,8,37.41,24.57,10.7,-4.04,7.09,0
MSME0037,Average Enterprises 37,Logistics & Transport,Tier-1,5.9,Average,False,59086.0,38780.0,202.0,3.58,12.58,57.77,19.67,2,4.4,1,61.42,63.5,13.3,11.78,13.65,0
MSME0038,Healthy Enterprises 38,Pharma & Healthcare Retail,Tier-1,12.4,Healthy,False,43086.0,40017.0,258.0,1.12,12.25,83.6,4.92,0,8.2,9,76.22,85.94,8.5,11.68,5.0,0
MSME0039,Risky Enterprises 39,Pharma & Healthcare Retail,Tier-1,2.6,Risky,False,12363.0,27723.0,98.0,9.95,27.65,12.7,30.75,4,4.7,5,16.51,35.86,21.1,-5.62,23.17,0
MSME0040,Average Enterprises 40,Pharma & Healthcare Retail,Tier-2,5.5,Average,False,12331.0,24552.0,181.0,6.09,7.69,43.25,18.65,2,5.5,1,63.73,55.79,6.1,-0.67,13.57,1
MSME0041,Healthy Enterprises 41,Agri-Trading,Tier-2,8.9,Healthy,False,51159.0,45559.0,259.0,2.69,6.69,100.0,4.09,0,5.8,7,78.18,89.13,11.6,9.26,5.0,0
MSME0042,Average Enterprises 42,Retail Trade,Tier-1,6.4,Average,False,59094.0,24279.0,190.0,5.21,17.3,64.89,24.88,1,4.2,1,46.68,65.96,5.7,-2.05,11.38,0
MSME0043,Healthy Enterprises 43,Agri-Trading,Tier-1,6.7,Healthy,False,68649.0,50744.0,259.0,3.03,7.31,100.0,7.23,1,9.2,11,78.17,79.16,2.2,7.44,5.07,1
MSME0044,NTC Enterprises 44,Logistics & Transport,Tier-2,1.2,NTC_NTB,True,41620.0,26163.0,169.0,8.92,14.08,44.42,27.64,2,3.4,7,50.56,33.68,16.2,12.2,21.29,1
MSME0045,Average Enterprises 45,Logistics & Transport,Tier-1,4.7,Average,False,44333.0,39859.0,200.0,4.75,13.2,64.43,22.21,1,3.5,16,52.72,75.2,16.0,16.42,9.7,1
MSME0046,Risky Enterprises 46,Pharma & Healthcare Retail,Tier-2,2.4,Risky,False,44901.0,16596.0,74.0,9.88,30.66,26.57,38.39,3,4.2,1,26.45,11.53,14.7,3.31,16.71,1
MSME0047,Average Enterprises 47,Pharma & Healthcare Retail,Tier-2,2.1,Average,False,48368.0,39938.0,195.0,6.32,17.25,64.03,22.89,3,4.4,11,57.19,70.96,7.1,16.97,11.29,0
MSME0048,Average Enterprises 48,Food & Beverage,Tier-1,3.8,Average,False,39384.0,46703.0,176.0,6.14,14.94,68.12,25.74,2,4.9,4,61.93,59.46,5.9,3.9,10.37,0
MSME0049,Average Enterprises 49,Construction Materials,Tier-2,5.7,Average,False,36455.0,31301.0,179.0,5.58,14.56,53.41,20.88,1,6.0,10,53.56,54.0,11.9,-1.75,16.29,1
MSME0050,Healthy Enterprises 50,Auto Repair & Parts,Tier-2,6.9,Healthy,False,78222.0,59747.0,284.0,2.16,9.6,98.11,4.62,2,9.2,22,79.46,79.88,0.0,14.74,5.18,0
MSME0051,NTC Enterprises 51,Auto Repair & Parts,Tier-2,0.9,NTC_NTB,True,44570.0,28460.0,180.0,4.91,16.76,19.98,32.4,3,0.1,14,35.29,32.43,13.6,16.05,19.56,1
MSME0052,NTC Enterprises 52,Construction Materials,Tier-2,1.4,NTC_NTB,True,43422.0,17282.0,126.0,8.99,17.39,48.99,25.7,4,0.1,1,67.33,18.68,14.4,4.97,10.85,0
